Model,Config,MAE,RMSE,MAPE(%)
ARIMA,"order=(1, 1, 1)",6.301261534103689,7.159163686449039,15.96866489470573
AutoReg,lag=30,6.007987041662948,6.795538869794264,14.95053050695782
FeatEng-LinearReg,max_lag=14,5.253658846739472,6.298311588885693,12.487604984873228
